=======================================================
🕷  掌上高考 多年份录取数据爬虫（自适应版）
📅 目标年份: 2022, 2021, 2020
🔄 断点续爬模式
=======================================================

📋 从缓存加载学校列表：2955 所

=======================================================
📅 开始爬取 2022 年数据
=======================================================
📂 恢复进度(2022)：已完成 1000 所，插入 70319 条
🚀 从第 1001 所开始（共 2955 所），当前延迟 4s


[2022] [1089/2955] 山东工程职业技术大学   | 73772 条 | 7.5min | 剩余159min | 延迟4s  
[2022] [1090/2955] 河北东方学院       | 73814 条 | 7.6min | 剩余159min | 延迟4s  
[2022] [1091/2955] 宁波职业技术大学     | 73885 条 | 7.7min | 剩余159min | 延迟4s  
[2022] [1092/2955] 安徽信息工程学院     | 73904 条 | 7.7min | 剩余158min | 延迟4s  
[2022] [1093/2955] 河北外国语学院      | 73913 条 | 7.8min | 剩余158min | 延迟4s  
[2022] [1094/2955] 新乡工程学院       | 73972 条 | 7.9min | 剩余158min | 延迟4s  
[2022] [1095/2955] 哈尔滨职业技术大学    | 73976 条 | 8.0min | 剩余158min | 延迟4s  
[2022] [1096/2955] 燕山大学里仁学院     | 74021 条 | 8.1min | 剩余158min | 延迟4s  
[2022] [1097/2955] 江西财经大学现代经济管理学院 | 74021 条 | 8.1min | 剩余157min | 延迟4s  
[2022] [1098/2955] 昆明理工大学津桥学院   | 74076 条 | 8.2min | 剩余157min | 延迟4s  
[2022] [1099/2955] 武汉文理学院       | 74144 条 | 8.3min | 剩余158min | 延迟4s  
[2022] [1100/2955] 唐山工业职业技术大学   | 74195 条 | 8.4min | 剩余158min | 延迟4s  
[2022] [1101/2955] 福建师范大学协和学院   | 74214 条 | 8.5min | 剩余157min | 延迟4s  
[2022] [1102/2955] 江西师范大学科学技术学院 | 74253 条 | 8.6min | 剩余158min | 延迟4s  
[2022] [1103/2955] 桂林学院         | 74305 条 | 8.7min | 剩余158min | 延迟4s  
[2022] [1104/2955] 南昌职业大学       | 74347 条 | 8.8min | 剩余158min | 延迟4s  
[2022] [1105/2955] 澳门大学         | 74402 条 | 8.9min | 剩余158min | 延迟4s  
[2022] [1106/2955] 泉州信息工程学院     | 74402 条 | 9.0min | 剩余158min | 延迟4s  
[2022] [1107/2955] 广东以色列理工学院    | 74447 条 | 9.1min | 剩余158min | 延迟4s  
[2022] [1108/2955] 山东财经大学燕山学院   | 74464 条 | 9.1min | 剩余158min | 延迟4s  
[2022] [1109/2955] 河北经贸大学经济管理学院 | 74465 条 | 9.2min | 剩余157min | 延迟4s  
[2022] [1110/2955] 杭州电子科技大学信息工程学院 | 74479 条 | 9.3min | 剩余157min | 延迟4s  
[2022] [1111/2955] 绵阳城市学院       | 74500 条 | 9.3min | 剩余157min | 延迟4s  
[2022] [1112/2955] 辽宁财贸学院       | 74541 条 | 9.4min | 剩余157min | 延迟4s  
[2022] [1113/2955] 浙江师范大学行知学院   | 74563 条 | 9.5min | 剩余157min | 延迟4s  
[2022] [1114/2955] 吉林师范大学博达学院   | 74590 条 | 9.6min | 剩余156min | 延迟4s  
[2022] [1115/2955] 沈阳科技学院       | 74654 条 | 9.7min | 剩余156min | 延迟4s  
[2022] [1116/2955] 贵州交通职业大学     | 74689 条 | 9.8min | 剩余156min | 延迟4s  
[2022] [1117/2955] 河北工程大学科信学院   | 74708 条 | 9.8min | 剩余156min | 延迟4s  
[2022] [1118/2955] 宁夏理工学院       | 74762 条 | 9.9min | 剩余156min | 延迟4s  
[2022] [1119/2955] 抚州医药学院       | 74824 条 | 10.0min | 剩余156min | 延迟4s  
[2022] [1120/2955] 青岛黄海学院       | 74868 条 | 10.1min | 剩余156min | 延迟4s  
[2022] [1121/2955] 贵阳信息科技学院     | 74961 条 | 10.2min | 剩余157min | 延迟4s  
[2022] [1122/2955] 江西应用科技学院     | 74986 条 | 10.3min | 剩余156min | 延迟4s  
[2022] [1123/2955] 辽宁中医药大学杏林学院  | 75057 条 | 10.4min | 剩余157min | 延迟4s  
[2022] [1124/2955] 绍兴理工学院       | 75103 条 | 10.5min | 剩余157min | 延迟4s  
[2022] [1125/2955] 江西工程学院       | 75130 条 | 10.6min | 剩余156min | 延迟4s  
[2022] [1126/2955] 银川科技学院       | 75130 条 | 10.7min | 剩余156min | 延迟4s  
[2022] [1127/2955] 上海中侨职业技术大学   | 75176 条 | 10.7min | 剩余156min | 延迟4s  
[2022] [1128/2955] 潍坊科技学院       | 75270 条 | 10.9min | 剩余156min | 延迟4s  
[2022] [1129/2955] 安徽第二医学院      | 75322 条 | 11.0min | 剩余156min | 延迟4s  
[2022] [1130/2955] 广西外国语学院      | 75369 条 | 11.0min | 剩余156min | 延迟4s  
[2022] [1131/2955] 广西民族大学相思湖学院  | 75443 条 | 11.1min | 剩余156min | 延迟4s  
[2022] [1132/2955] 湖北医药学院药护学院   | 75470 条 | 11.2min | 剩余156min | 延迟4s  
[2022] [1133/2955] 广东工商职业技术大学   | 75512 条 | 11.3min | 剩余156min | 延迟4s  
[2022] [1134/2955] 延安大学西安创新学院   | 75553 条 | 11.4min | 剩余156min | 延迟4s  
[2022] [1135/2955] 云南艺术学院       | 75583 条 | 11.5min | 剩余156min | 延迟4s  
[2022] [1136/2955] 贵州黔南科技学院     | 75598 条 | 11.6min | 剩余156min | 延迟4s  
[2022] [1137/2955] 兰州博文科技学院     | 75622 条 | 11.6min | 剩余156min | 延迟4s  
[2022] [1138/2955] 南通大学杏林学院     | 75659 条 | 11.7min | 剩余155min | 延迟4s  
[2022] [1139/2955] 山东工艺美术学院     | 75688 条 | 11.8min | 剩余155min | 延迟4s  
[2022] [1140/2955] 武警工程大学       | 75701 条 | 11.9min | 剩余155min | 延迟4s  
[2022] [1141/2955] 安徽医科大学临床医学院  | 75761 条 | 12.0min | 剩余155min | 延迟4s  
[2022] [1142/2955] 浙江药科职业大学     | 75772 条 | 12.0min | 剩余155min | 延迟4s  
[2022] [1143/2955] 哈尔滨信息工程学院    | 75803 条 | 12.1min | 剩余155min | 延迟4s  
[2022] [1144/2955] 南昌大学科学技术学院   | 75831 条 | 12.2min | 剩余154min | 延迟4s  
[2022] [1145/2955] 山东英才学院       | 75880 条 | 12.3min | 剩余154min | 延迟4s  
[2022] [1146/2955] 商丘学院         | 75954 条 | 12.4min | 剩余154min | 延迟4s  
[2022] [1147/2955] 天津外国语大学滨海外事学院 | 75967 条 | 12.4min | 剩余154min | 延迟4s  
[2022] [1148/2955] 柳州职业技术大学     | 76017 条 | 12.5min | 剩余154min | 延迟4s  
[2022] [1149/2955] 火箭军工程大学      | 76036 条 | 12.6min | 剩余154min | 延迟4s  
[2022] [1150/2955] 河北地质大学华信学院   | 76069 条 | 12.7min | 剩余154min | 延迟4s  
[2022] [1151/2955] 张家界学院        | 76114 条 | 12.8min | 剩余154min | 延迟4s  
[2022] [1152/2955] 蚌埠工商学院       | 76128 条 | 12.8min | 剩余153min | 延迟4s  
[2022] [1153/2955] 遵义医科大学医学与科技学院 | 76150 条 | 12.9min | 剩余153min | 延迟4s  
[2022] [1154/2955] 陕西科技大学镐京学院   | 76169 条 | 13.0min | 剩余153min | 延迟4s  
[2022] [1155/2955] 景德镇艺术职业大学    | 76195 条 | 13.1min | 剩余153min | 延迟4s  
[2022] [1156/2955] 陕西警察学院       | 76239 条 | 13.2min | 剩余153min | 延迟4s  
[2022] [1157/2955] 安阳学院         | 76271 条 | 13.2min | 剩余153min | 延迟4s  
[2022] [1158/2955] 北京科技职业大学     | 76282 条 | 13.3min | 剩余152min | 延迟4s  
[2022] [1159/2955] 河北农业大学现代科技学院 | 76305 条 | 13.4min | 剩余152min | 延迟4s  
[2022] [1160/2955] 丽江文化旅游学院     | 76307 条 | 13.5min | 剩余152min | 延迟4s  
[2022] [1161/2955] 宁波大学科学技术学院   | 76384 条 | 13.6min | 剩余152min | 延迟4s  
[2022] [1162/2955] 天津商业大学宝德学院   | 76418 条 | 13.6min | 剩余152min | 延迟4s  
